file_name,file_urls
Krenko,https://deckstats.net/decks/204329/2901015-krenko/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Angels,https://deckstats.net/decks/154791/2892249-angels/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Atraxa, Preators' Voice*",https://deckstats.net/decks/75461/607579-atraxa-preators-voice-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander - Dirty Deeds Done Dirt Cheap X,https://deckstats.net/decks/191814/2862975-commander-dirty-deeds-done-dir/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander - If You Want Blood (You've Got It) X,https://deckstats.net/decks/191814/2669849-commander-if-you-want-blood-yo/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Edgar Markov - Vampire Tribal,https://deckstats.net/decks/118014/1118040-edgar-markov-vampire-tribal/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
EDH La leyenda de Sisay,https://deckstats.net/decks/41022/992259-edh-la-leyenda-de-sisay/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"[Raffine, Scheming Seer] Aggro",https://deckstats.net/decks/54828/2835318--raffine-scheming-seer-aggro/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Dinner and politics don't mix,https://deckstats.net/decks/48786/1208590-dinner-and-politics-don-t-mix/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Trostani - Queen of Tokens,https://deckstats.net/decks/57469/412370-trostani-queen-of-tokens/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Hatebears gonna bear hate,https://deckstats.net/decks/150706/2556178-hatebears-gonna-bear-hate/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Scorpion GOD Commander,https://deckstats.net/decks/34378/1176148-scorpion-god-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Prossh, Skyraider of Kher - Sacrifice",https://deckstats.net/decks/62186/479977-prossh-skyraider-of-kher-sacri/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
NARSET COMMANDER,https://deckstats.net/decks/13159/180252-narset-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Daretti Commander,https://deckstats.net/decks/7405/437943-daretti-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
War politics final,https://deckstats.net/decks/221400/2894381-war-politics-final/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
